REF_DATE,PRENAME,Sex,Age group and first officiel language spoken,Immigrant and generation status,Visible minority status,"Highest certificate, diploma or degree",Indicators,VALUE
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,68.3
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,66
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,66
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Employment rate,62.2
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Employment rate,58.8
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Employment rate,59.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,11
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,9.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,79.8
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,79.9
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,77.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,63.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,62.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Participation rate,59.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Employment rate,58.3
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Employment rate,56.7
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Employment rate,54.9
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Unemployment rate,8
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Unemployment rate,9
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Unemployment rate,8.1
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Population in full-time employment,80.2
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Population in full-time employment,80.8
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Chinese,"Total – Highest certificate, diploma or degree",Population in full-time employment,79.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,71.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,67
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Participation rate,67.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Employment rate,63.8
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Employment rate,58.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Employment rate,59
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,10.2
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,13
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Unemployment rate,12.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.3
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.8
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Black,"Total – Highest certificate, diploma or degree",Population in full-time employment,71.1
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,75.7
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,75
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Participation rate,75
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,71.6
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,70.2
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Employment rate,71
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,5.5
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,6.5
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Unemployment rate,5.3
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,81.9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,81.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Filipino,"Total – Highest certificate, diploma or degree",Population in full-time employment,78.4
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,72.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,71.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Participation rate,71.8
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,66.3
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,63.9
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Employment rate,65.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,8.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,10.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Unemployment rate,8.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,78.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,77
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Latin American,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.4
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,60.9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,59.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Participation rate,56.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,54.7
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,51.6
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Employment rate,49
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,10.3
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,13.1
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Unemployment rate,13.5
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,74.3
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.6
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Arab,"Total – Highest certificate, diploma or degree",Population in full-time employment,70.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,68.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,67.9
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Participation rate,67
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,62.2
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,60.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Employment rate,61.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,9.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,11.1
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,8.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,81.9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,80.5
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Southeast Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,78.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,63.8
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Participation rate,61.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,56.7
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,53.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Employment rate,55.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,11.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,12.8
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Unemployment rate,10.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,71.6
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,74
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,West Asian,"Total – Highest certificate, diploma or degree",Population in full-time employment,70.1
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,58.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,57.8
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Participation rate,60.5
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,53.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,52
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Employment rate,55.3
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,8.5
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,10
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Unemployment rate,8.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,73.8
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,75
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Korean,"Total – Highest certificate, diploma or degree",Population in full-time employment,74.5
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,61.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,59.9
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Participation rate,61.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,58
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,56
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Employment rate,56.5
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,5.5
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,6.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Unemployment rate,7.6
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.6
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Japanese,"Total – Highest certificate, diploma or degree",Population in full-time employment,71.9
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,71.2
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,67.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Participation rate,68.5
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,65.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,59.7
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Employment rate,62.8
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,8.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,11.3
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Unemployment rate,8.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,79.6
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,79
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,"Visible minority, n.i.e.","Total – Highest certificate, diploma or degree",Population in full-time employment,77.8
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,72.4
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,66.7
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Participation rate,67.9
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,65.9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,59.5
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Employment rate,61.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,10.8
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Unemployment rate,9.9
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.5
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Multiple visible minorities,"Total – Highest certificate, diploma or degree",Population in full-time employment,72
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,66.9
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,65.4
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Participation rate,64.5
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Employment rate,63
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Employment rate,60.5
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Employment rate,60.2
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,5.8
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,7.5
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,6.7
2006,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,77.1
2011,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,77.2
2016,Ontario Region,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Not a visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.6
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,67.3
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,67.3
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Participation rate,66.1
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Employment rate,63.6
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Employment rate,63.1
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Employment rate,61.7
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,5.5
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,6.2
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Unemployment rate,6.7
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.9
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.7
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Total – Visible minority,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.5
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,72.2
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,72.3
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Participation rate,72.6
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Employment rate,67.8
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Employment rate,67.1
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Employment rate,67.5
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Unemployment rate,6.1
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Unemployment rate,7.3
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Unemployment rate,7
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Population in full-time employment,77
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Population in full-time employment,76.1
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,Visible minority population,"Total – Highest certificate, diploma or degree",Population in full-time employment,75.4
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,72.6
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,70
2016,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Participation rate,73.1
2006,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Employment rate,67.6
2011,Manitoba,Total – Sex,Total – 15 years and over,Total – Immigrant and generation status,South Asian,"Total – Highest certificate, diploma or degree",Employment rate,64.5
